Name,Date,Close/Last,Volume,Open,High,Low
MSFT,12/8/23,$374.23 ,20154370,$369.20 ,$374.46 ,$368.23 
MSFT,12/7/23,$370.95 ,23118860,$368.23 ,$371.45 ,$366.32 
MSFT,12/6/23,$368.80 ,21182070,$373.54 ,$374.18 ,$368.03 
MSFT,12/5/23,$372.52 ,23065040,$366.45 ,$373.08 ,$365.62 
MSFT,12/4/23,$369.14 ,32063310,$369.10 ,$369.52 ,$362.90 
MSFT,12/1/23,$374.51 ,33040470,$376.76 ,$378.16 ,$371.31 
MSFT,11/30/23,$378.91 ,30554420,$378.49 ,$380.09 ,$375.47 
MSFT,11/29/23,$378.85 ,28963400,$383.76 ,$384.30 ,$377.44 
MSFT,11/28/23,$382.70 ,20453110,$378.35 ,$383.00 ,$378.16 
MSFT,11/27/23,$378.61 ,22179230,$376.78 ,$380.64 ,$376.20 
MSFT,11/24/23,$377.43 ,10176650,$377.33 ,$377.97 ,$375.14 
MSFT,11/22/23,$377.85 ,23361180,$378.00 ,$379.79 ,$374.97 
MSFT,11/21/23,$373.07 ,28423150,$375.67 ,$376.22 ,$371.12 
MSFT,11/20/23,$377.44 ,52528960,$371.22 ,$378.87 ,$371.00 
MSFT,11/17/23,$369.85 ,40325370,$373.61 ,$374.37 ,$367.00 
MSFT,11/16/23,$376.17 ,27182320,$370.96 ,$376.35 ,$370.18 
MSFT,11/15/23,$369.67 ,26860100,$371.28 ,$373.13 ,$367.11 
MSFT,11/14/23,$370.27 ,27683860,$371.01 ,$371.95 ,$367.35 
MSFT,11/13/23,$366.68 ,19986510,$368.22 ,$368.47 ,$365.90 
MSFT,11/10/23,$369.67 ,28065160,$361.49 ,$370.10 ,$361.07 
MSFT,11/9/23,$360.69 ,24847330,$362.30 ,$364.79 ,$360.36 
MSFT,11/8/23,$363.20 ,26767830,$361.68 ,$363.87 ,$360.55 
MSFT,11/7/23,$360.53 ,25833930,$359.40 ,$362.46 ,$357.63 
MSFT,11/6/23,$356.53 ,23828300,$353.45 ,$357.54 ,$353.35 
MSFT,11/3/23,$352.80 ,23637670,$349.63 ,$354.39 ,$347.33 
MSFT,11/2/23,$348.32 ,24348070,$347.24 ,$348.83 ,$344.77 
MSFT,11/1/23,$346.07 ,28158820,$339.79 ,$347.42 ,$339.65 
MSFT,10/31/23,$338.11 ,20265280,$338.85 ,$339.00 ,$334.69 
MSFT,10/30/23,$337.31 ,22828080,$333.41 ,$339.45 ,$331.83 
MSFT,10/27/23,$329.81 ,29856520,$330.43 ,$336.72 ,$328.40 
MSFT,10/26/23,$327.89 ,37828540,$340.54 ,$341.63 ,$326.94 
MSFT,10/25/23,$340.67 ,55053830,$345.02 ,$346.20 ,$337.62 
MSFT,10/24/23,$330.53 ,31153570,$331.30 ,$331.84 ,$327.60 
MSFT,10/23/23,$329.32 ,24374750,$325.47 ,$332.73 ,$324.39 
MSFT,10/20/23,$326.67 ,25027720,$331.72 ,$331.92 ,$325.45 
MSFT,10/19/23,$331.32 ,25052070,$332.15 ,$336.88 ,$330.91 
MSFT,10/18/23,$330.11 ,23153600,$332.49 ,$335.59 ,$328.30 
MSFT,10/17/23,$332.06 ,18338520,$329.59 ,$333.46 ,$327.41 
MSFT,10/16/23,$332.64 ,22158050,$331.05 ,$336.14 ,$330.60 
MSFT,10/13/23,$327.73 ,21085700,$332.38 ,$333.83 ,$326.36 
MSFT,10/12/23,$331.16 ,19313100,$330.57 ,$333.63 ,$328.72 
MSFT,10/11/23,$332.42 ,20063250,$331.21 ,$332.82 ,$329.14 
MSFT,10/10/23,$328.39 ,20557090,$330.96 ,$331.10 ,$327.67 
MSFT,10/9/23,$329.82 ,19891180,$324.75 ,$330.30 ,$323.18 
MSFT,10/6/23,$327.26 ,25673630,$316.55 ,$329.19 ,$316.30 
MSFT,10/5/23,$319.36 ,16965630,$319.09 ,$319.98 ,$314.90 
MSFT,10/4/23,$318.96 ,20720140,$314.03 ,$320.04 ,$314.00 
MSFT,10/3/23,$313.39 ,21033490,$320.83 ,$321.39 ,$311.22 
MSFT,10/2/23,$321.80 ,20570010,$316.28 ,$321.89 ,$315.18 
MSFT,9/29/23,$315.75 ,24147300,$317.75 ,$319.47 ,$314.98 
MSFT,9/28/23,$313.64 ,19683560,$310.99 ,$315.48 ,$309.45 
MSFT,9/27/23,$312.79 ,19410080,$312.30 ,$314.30 ,$309.69 
MSFT,9/26/23,$312.14 ,26297570,$315.13 ,$315.88 ,$310.02 
MSFT,9/25/23,$317.54 ,17835960,$316.59 ,$317.67 ,$315.00 
MSFT,9/22/23,$317.01 ,21447890,$321.32 ,$321.45 ,$316.15 
MSFT,9/21/23,$319.53 ,35560360,$319.26 ,$325.35 ,$315.00 
MSFT,9/20/23,$320.77 ,21436530,$329.51 ,$329.59 ,$320.51 
MSFT,9/19/23,$328.65 ,16514490,$326.17 ,$329.39 ,$324.51 
MSFT,9/18/23,$329.06 ,16834210,$327.80 ,$330.40 ,$326.36 
MSFT,9/15/23,$330.22 ,37679790,$336.92 ,$337.40 ,$329.65 
MSFT,9/14/23,$338.70 ,20267050,$339.15 ,$340.86 ,$336.57 
MSFT,9/13/23,$336.06 ,16544410,$331.31 ,$336.85 ,$331.17 
MSFT,9/12/23,$331.77 ,17565480,$335.82 ,$336.79 ,$331.48 
MSFT,9/11/23,$337.94 ,16583320,$337.24 ,$338.42 ,$335.43 
