Date,Close/Last,Volume,Open,High,Low
12/8/23,243.84,103126800,240.27,245.27,239.27
12/7/23,242.64,107142300,241.55,244.08,236.98
12/6/23,239.37,126436200,242.92,246.57,239.17
12/5/23,238.72,137971100,233.87,246.66,233.7
12/4/23,235.58,104099800,235.75,239.37,233.29
12/1/23,238.83,121331700,233.14,240.19,231.9
11/30/23,240.08,132353200,245.14,245.22,236.91
11/29/23,244.14,135401300,249.21,252.75,242.76
11/28/23,246.72,148549900,236.68,247,234.01
11/27/23,236.08,112031800,236.89,238.33,232.1
11/24/23,235.45,65125200,233.75,238.75,232.33
11/22/23,234.21,118117100,242.04,244.01,231.4
11/21/23,241.2,122288000,235.04,243.62,233.34
11/20/23,235.6,116562400,234.04,237.1,231.02
11/17/23,234.3,142766200,232,237.39,226.54
11/16/23,233.59,136816800,239.49,240.88,230.96
11/15/23,242.84,150354000,239.29,246.7,236.45
11/14/23,237.41,149771600,235.03,238.14,230.72
11/13/23,223.71,140447600,215.6,225.4,211.61
11/10/23,214.65,131310100,210.03,215.38,205.69
11/9/23,209.98,142110500,219.75,220.8,206.68
11/8/23,222.11,106584800,223.15,224.15,217.64
11/7/23,222.18,116900100,219.98,223.12,215.72
11/6/23,219.27,117335800,223.98,226.32,215
11/3/23,219.96,119534800,221.15,226.37,218.4
11/2/23,218.51,125987600,212.97,219.2,211.45
11/1/23,205.66,121661700,204.04,205.99,197.85
10/31/23,200.84,118068300,196.12,202.8,194.07
10/30/23,197.36,136448200,209.28,210.88,194.67
10/27/23,207.3,94881170,210.6,212.41,205.77
10/26/23,205.76,115112600,211.32,214.8,204.88
10/25/23,212.42,107065100,215.88,220.1,212.2
10/24/23,216.52,118231100,216.5,222.05,214.11
10/23/23,212.08,150683400,210,216.98,202.51
10/20/23,211.99,138010100,217.01,218.86,210.42
10/19/23,220.11,170772700,225.95,230.61,216.78
10/18/23,242.68,125147800,252.7,254.63,242.08
10/17/23,254.85,93562910,250.1,257.18,247.08
10/16/23,253.92,88917180,250.05,255.4,248.48
10/13/23,251.12,102296800,258.9,259.6,250.22
