Name,Date,Close/Last,Volume,Open,High,Low
CSCO,12/8/2023,$48.38 ,16039940,$48.28 ,$48.59 ,$48.21 
CSCO,12/7/2023,$48.26 ,20478480,$47.91 ,$48.36 ,$47.80 
CSCO,12/6/2023,$47.70 ,19535530,$48.07 ,$48.21 ,$47.65 
CSCO,12/5/2023,$47.93 ,20985040,$47.75 ,$47.96 ,$47.59 
CSCO,12/4/2023,$48.05 ,17812930,$48.06 ,$48.18 ,$47.78 
CSCO,12/1/2023,$48.47 ,18744690,$48.28 ,$48.78 ,$48.02 
CSCO,11/30/2023,$48.38 ,37165010,$48.19 ,$48.50 ,$47.94 
CSCO,11/29/2023,$48.05 ,16700490,$48.11 ,$48.44 ,$48.03 
CSCO,11/28/2023,$47.85 ,16360860,$47.95 ,$48.19 ,$47.81 
CSCO,11/27/2023,$47.93 ,17651620,$48.33 ,$48.37 ,$47.91 
CSCO,11/24/2023,$48.36 ,8209530,$48.09 ,$48.40 ,$48.05 
CSCO,11/22/2023,$48.08 ,17311340,$48.08 ,$48.35 ,$47.95 
CSCO,11/21/2023,$47.80 ,21510480,$48.27 ,$48.35 ,$47.66 
CSCO,11/20/2023,$48.27 ,27425670,$47.56 ,$48.37 ,$47.55 
CSCO,11/17/2023,$47.76 ,32337440,$48.05 ,$48.36 ,$47.73 
CSCO,11/16/2023,$48.04 ,79057820,$47.41 ,$48.06 ,$46.20 
CSCO,11/15/2023,$53.28 ,32188150,$53.27 ,$53.43 ,$53.04 
CSCO,11/14/2023,$53.17 ,18330970,$52.47 ,$53.37 ,$52.47 
CSCO,11/13/2023,$52.23 ,14931550,$52.48 ,$52.64 ,$52.09 
CSCO,11/10/2023,$52.59 ,17373580,$52.25 ,$52.63 ,$51.93 
CSCO,11/9/2023,$52.00 ,21039430,$52.12 ,$52.57 ,$51.75 
CSCO,11/8/2023,$53.00 ,13633770,$53.39 ,$53.50 ,$52.77 
CSCO,11/7/2023,$53.13 ,15153110,$53.34 ,$53.44 ,$52.97 
CSCO,11/6/2023,$53.29 ,15429620,$52.97 ,$53.30 ,$52.88 
CSCO,11/3/2023,$53.01 ,17645130,$53.26 ,$53.45 ,$52.63 
CSCO,11/2/2023,$52.75 ,17459680,$52.32 ,$52.80 ,$52.18 
CSCO,11/1/2023,$52.19 ,14300650,$52.04 ,$52.28 ,$51.80 
CSCO,10/31/2023,$52.13 ,13509300,$51.75 ,$52.17 ,$51.68 
CSCO,10/30/2023,$51.57 ,13322430,$51.35 ,$51.64 ,$51.09 
CSCO,10/27/2023,$51.56 ,13333930,$51.64 ,$52.15 ,$51.40 
CSCO,10/26/2023,$51.37 ,17594540,$51.87 ,$52.13 ,$51.31 
CSCO,10/25/2023,$52.40 ,14384690,$53.11 ,$53.37 ,$52.33 
CSCO,10/24/2023,$53.01 ,14824180,$52.26 ,$53.05 ,$52.06 
CSCO,10/23/2023,$52.20 ,17760040,$52.82 ,$52.85 ,$52.16 
CSCO,10/20/2023,$52.93 ,23888740,$53.39 ,$53.59 ,$52.80 
CSCO,10/19/2023,$53.32 ,16325600,$53.76 ,$53.93 ,$53.20 
