Name,Date,Volume,Open,High,Low
CSCO,12/8/23,16039940,48.28,48.59,48.21
CSCO,12/7/23,20478480,47.91,48.36,47.8
CSCO,12/6/23,19535530,48.07,48.21,47.65
CSCO,12/5/23,20985040,47.75,47.96,47.59
CSCO,12/4/23,17812930,48.06,48.18,47.78
CSCO,12/1/23,18744690,48.28,48.78,48.02
CSCO,11/30/23,37165010,48.19,48.5,47.94
CSCO,11/29/23,16700490,48.11,48.44,48.03
CSCO,11/28/23,16360860,47.95,48.19,47.81
CSCO,11/27/23,17651620,48.33,48.37,47.91
CSCO,11/24/23,8209530,48.09,48.4,48.05
CSCO,11/22/23,17311340,48.08,48.35,47.95
CSCO,11/21/23,21510480,48.27,48.35,47.66
CSCO,11/20/23,27425670,47.56,48.37,47.55
CSCO,11/17/23,32337440,48.05,48.36,47.73
CSCO,11/16/23,79057820,47.41,48.06,46.2
CSCO,11/15/23,32188150,53.27,53.43,53.04
CSCO,11/14/23,18330970,52.47,53.37,52.47
CSCO,11/13/23,14931550,52.48,52.64,52.09
CSCO,11/10/23,17373580,52.25,52.63,51.93
CSCO,11/9/23,21039430,52.12,52.57,51.75
CSCO,11/8/23,13633770,53.39,53.5,52.77
CSCO,11/7/23,15153110,53.34,53.44,52.97
CSCO,11/6/23,15429620,52.97,53.3,52.88
CSCO,11/3/23,17645130,53.26,53.45,52.63
CSCO,11/2/23,17459680,52.32,52.8,52.18
CSCO,11/1/23,14300650,52.04,52.28,51.8
CSCO,10/31/23,13509300,51.75,52.17,51.68
CSCO,10/30/23,13322430,51.35,51.64,51.09
CSCO,10/27/23,13333930,51.64,52.15,51.4
CSCO,10/26/23,17594540,51.87,52.13,51.31
CSCO,10/25/23,14384690,53.11,53.37,52.33
CSCO,10/24/23,14824180,52.26,53.05,52.06
CSCO,10/23/23,17760040,52.82,52.85,52.16
CSCO,10/20/23,23888740,53.39,53.59,52.8
CSCO,10/19/23,16325600,53.76,53.93,53.2
CSCO,10/18/23,13087340,53.79,54.19,53.6
CSCO,10/17/23,17105930,53.79,53.98,53.17
CSCO,10/16/23,11736610,54.07,54.59,54.04
CSCO,10/13/23,14413850,53.88,54.12,53.44
CSCO,10/12/23,11846120,54.02,54.22,53.51
CSCO,10/11/23,12658050,53.93,54.13,53.35
CSCO,10/10/23,13105620,53.96,54.09,53.65
CSCO,10/9/23,10163600,53.35,53.96,53.25
CSCO,10/6/23,15665550,52.99,53.75,52.74
CSCO,10/5/23,14929530,53.4,53.47,52.58
CSCO,10/4/23,17008960,53.66,53.85,53.22
CSCO,10/3/23,15700580,53.86,53.89,53.35
CSCO,10/2/23,13934000,53.84,54.4,53.81
CSCO,9/29/23,13951240,54.16,54.2,53.5
CSCO,9/28/23,17204420,53.37,54.19,53.35
CSCO,9/27/23,15845520,52.89,53.37,52.53
CSCO,9/26/23,15618420,53.18,53.3,52.58
CSCO,9/25/23,14224390,53.46,53.68,53.16
CSCO,9/22/23,17870180,53.4,53.83,53.2
CSCO,9/21/23,37440280,53.41,54.1,52.85
CSCO,9/20/23,12221680,55.95,56.05,55.44
CSCO,9/19/23,10748900,56.18,56.21,55.46
CSCO,9/18/23,11824980,56.01,56.28,55.83
CSCO,9/15/23,44029150,56.31,56.39,55.54
CSCO,9/14/23,15760270,56.42,56.47,56.08
CSCO,9/13/23,13092200,56.32,56.53,56.08
CSCO,9/12/23,13916090,56.65,56.86,56.34
CSCO,9/11/23,15842490,56.72,56.97,56.44
CSCO,9/8/23,13993110,56.76,57.07,56.56
CSCO,9/7/23,14762100,56.97,57.09,56.66
CSCO,9/6/23,11380420,57.1,57.47,57.07
CSCO,9/5/23,13884960,57.82,57.82,57.23
CSCO,9/1/23,14080410,57.39,58.19,57.39
CSCO,8/31/23,22619680,57.1,57.53,56.89
CSCO,8/30/23,12145390,56.63,56.91,56.54
CSCO,8/29/23,17859120,56.35,56.8,56.11
CSCO,8/28/23,15189850,55.89,56.28,55.68
CSCO,8/25/23,15731770,55.25,55.87,55.25
CSCO,8/24/23,17586350,56.32,56.48,55.21
CSCO,8/23/23,18250000,55.61,56.2,55.4
CSCO,8/22/23,15665990,55.48,55.82,55.28
CSCO,8/21/23,18283190,55.2,55.79,55.15
CSCO,8/18/23,28839760,54.63,55.46,54.62
CSCO,8/17/23,45278040,54.44,55.84,54.37
CSCO,8/16/23,26470180,53.19,53.52,52.87
CSCO,8/15/23,20173360,53.62,53.73,53.18
CSCO,8/14/23,20707310,53.8,54.13,53.72
CSCO,8/11/23,14344470,53.35,53.95,53.19
CSCO,8/10/23,16329460,53.41,54.14,53.17
CSCO,8/9/23,18765520,52.9,53.45,52.66
CSCO,8/8/23,12224770,52.66,53.13,52.36
CSCO,8/7/23,11327900,52.97,53.07,52.68
CSCO,8/4/23,12266940,52.88,53.32,52.54
CSCO,8/3/23,15193560,52.49,53.27,52.24
CSCO,8/2/23,17694350,52.38,53.11,52.32
CSCO,8/1/23,15287770,52.57,52.78,52.31
CSCO,7/31/23,14195970,51.84,52.18,51.74
CSCO,7/28/23,27493040,52.06,52.42,51.77
CSCO,7/27/23,15795510,53.6,53.89,52.86
CSCO,7/26/23,13563650,53.54,53.65,52.96
CSCO,7/25/23,16136560,53.19,53.76,53.11
CSCO,7/24/23,18394420,52.69,53.31,52.67
CSCO,7/21/23,51284800,52.75,53,52.53
CSCO,7/20/23,22784430,52.06,52.87,51.92
CSCO,7/19/23,21744960,52.21,52.44,51.7
CSCO,7/18/23,16434160,50.98,51.37,50.85
CSCO,7/17/23,16141050,50.2,50.95,50.14
CSCO,7/14/23,19566590,50.42,50.97,50.06
CSCO,7/13/23,17864780,50.69,51.62,50.65
CSCO,7/12/23,26332530,51.56,51.93,50.53
CSCO,7/11/23,15002730,51.57,52.15,51.54
CSCO,7/10/23,19046470,51.07,51.5,51.02
CSCO,7/7/23,15580380,51,51.65,50.74
CSCO,7/6/23,13933190,51.07,51.19,50.65
CSCO,7/5/23,14952220,50.97,51.57,50.93
CSCO,7/3/23,7336040,51.36,51.83,51.33
CSCO,6/30/23,18188310,51.88,52.26,51.52
CSCO,6/29/23,14246000,50.86,51.27,50.82
CSCO,6/28/23,11387580,50.78,51.02,50.44
CSCO,6/27/23,12980980,50.31,51.04,50.25
CSCO,6/26/23,13032100,50.31,50.8,50.18
CSCO,6/23/23,16544580,50.64,50.72,50.09
CSCO,6/22/23,14996300,50.65,51.14,50.43
CSCO,6/21/23,16939640,51.38,51.4,50.82
CSCO,6/20/23,20140400,51.94,52.08,51.47
CSCO,6/16/23,37134420,52.2,52.41,51.93
CSCO,6/15/23,22496850,50.91,52.07,50.83
CSCO,6/14/23,16630750,50.8,51.22,50.63
CSCO,6/13/23,24035530,50.69,50.94,50.45
CSCO,6/12/23,15497670,49.92,50.51,49.67
CSCO,6/9/23,12173940,49.53,49.97,49.37
CSCO,6/8/23,13289080,49.92,50,49.57
CSCO,6/7/23,15950610,49.7,50.14,49.65
CSCO,6/6/23,16029600,49.79,49.91,49.14
CSCO,6/5/23,13964140,50.22,50.58,50.04
CSCO,6/2/23,19155370,49.87,50.25,49.73
CSCO,6/1/23,17816970,49.76,50.09,49.26
CSCO,5/31/23,51990280,49.91,50.03,49.61
CSCO,5/30/23,19074760,49.99,50.49,49.74
CSCO,5/26/23,19825590,49.11,50.09,49.11
CSCO,5/25/23,21716990,47.77,49.23,47.72
CSCO,5/24/23,15452950,48.95,49,48.17
CSCO,5/23/23,17645880,48.61,49.35,48.6
CSCO,5/22/23,18667480,49.11,49.23,48.77
CSCO,5/19/23,28564110,48.43,49.34,48.4
CSCO,5/18/23,41475720,45.76,48.25,45.7
CSCO,5/17/23,29325950,47.15,47.76,47.01
CSCO,5/16/23,16500040,47.24,47.33,46.8
CSCO,5/15/23,13204410,46.8,47.26,46.56
CSCO,5/12/23,14097460,46.28,46.81,46.28
CSCO,5/11/23,12522130,46.83,46.85,46.2
CSCO,5/10/23,15625290,46.7,46.93,46.15
CSCO,5/9/23,15221930,45.98,46.52,45.92
CSCO,5/8/23,12000030,46.44,46.52,46.09
CSCO,5/5/23,14317400,46.12,46.36,45.92
CSCO,5/4/23,17748930,45.77,45.93,45.56
CSCO,5/3/23,20765710,46.42,46.55,45.86
CSCO,5/2/23,20175130,46.91,47.08,46.06
CSCO,5/1/23,13122320,47.2,47.52,47.13
